Date,Open,High,Low,Close,Adj Close,Volume,100ma
2015-12-31,2.284,2.3,2.266,2.269,2.269,0.0,2.269
2016-01-04,2.23,2.245,2.2,2.245,2.245,0.0,2.257
2016-01-05,2.243,2.261,2.225,2.248,2.248,0.0,2.254
2016-01-06,2.191,2.209,2.176,2.177,2.177,0.0,2.23475
2016-01-07,2.163,2.2,2.153,2.153,2.153,0.0,2.2184
2016-01-08,2.163,2.214,2.119,2.13,2.13,0.0,2.203666666666667
2016-01-11,2.16,2.179,2.14,2.158,2.158,0.0,2.197142857142857
2016-01-12,2.195,2.198,2.082,2.102,2.102,0.0,2.18525
2016-01-13,2.128,2.135,2.042,2.066,2.066,0.0,2.1719999999999997
2016-01-14,2.093,2.123,2.054,2.098,2.098,0.0,2.1645999999999996
2016-01-15,2.023,2.042,1.988,2.033,2.033,0.0,2.1526363636363635
2016-01-19,2.068,2.068,2.021,2.035,2.035,0.0,2.1428333333333334
2016-01-20,1.969,2.0,1.939,1.984,1.984,0.0,2.1306153846153846
2016-01-21,1.975,2.035,1.958,2.019,2.019,0.0,2.122642857142857
2016-01-22,2.068,2.089,2.047,2.048,2.048,0.0,2.1176666666666666
2016-01-25,2.029,2.041,2.015,2.022,2.022,0.0,2.1116875
2016-01-26,1.996,2.027,1.992,1.994,1.994,0.0,2.104764705882353
2016-01-27,2.019,2.052,1.998,2.001,2.001,0.0,2.0989999999999998
2016-01-28,2.005,2.038,1.973,1.985,1.985,0.0,2.093
2016-01-29,1.923,1.956,1.911,1.931,1.931,0.0,2.0848999999999998
2016-02-01,1.93,1.966,1.917,1.966,1.966,0.0,2.079238095238095
2016-02-02,1.923,1.924,1.862,1.864,1.864,0.0,2.069454545454545
2016-02-03,1.872,1.896,1.793,1.881,1.881,0.0,2.061260869565217
2016-02-04,1.872,1.891,1.85,1.864,1.864,0.0,2.053041666666666
2016-02-05,1.837,1.896,1.827,1.848,1.848,0.0,2.0448399999999993
2016-02-08,1.798,1.81,1.733,1.735,1.735,0.0,2.0329230769230766
2016-02-09,1.736,1.752,1.699,1.729,1.729,0.0,2.021666666666666
2016-02-10,1.762,1.769,1.702,1.705,1.705,0.0,2.0103571428571425
2016-02-11,1.567,1.649,1.567,1.644,1.644,0.0,1.997724137931034
2016-02-12,1.674,1.759,1.671,1.748,1.748,0.0,1.9893999999999994
2016-02-16,1.786,1.797,1.757,1.778,1.778,0.0,1.9825806451612897
2016-02-17,1.804,1.847,1.797,1.819,1.819,0.0,1.9774687499999994
2016-02-18,1.821,1.83,1.755,1.759,1.759,0.0,1.9708484848484844
2016-02-19,1.745,1.785,1.729,1.748,1.748,0.0,1.9642941176470585
