Date,Open,High,Low,Close,Adj Close,Volume
2015-12-31,6.69,6.93,6.68,6.77,6.77,24444700
2016-01-04,6.6,6.76,6.3,6.55,6.55,43095300
2016-01-05,6.62,6.73,6.51,6.71,6.71,37753400
2016-01-06,6.37,6.47,6.13,6.17,6.17,45365100
2016-01-07,5.98,6.04,5.43,5.61,5.61,66615400
2016-01-08,5.67,5.71,5.36,5.41,5.41,44313100
2016-01-11,5.4,5.42,4.23,4.31,4.31,117383000
2016-01-12,4.31,4.58,3.65,4.11,4.11,141597300
2016-01-13,4.18,4.28,3.7,3.74,3.74,64602100
2016-01-14,3.81,4.23,3.78,4.2,4.2,77708600
2016-01-15,3.8,4.35,3.77,4.35,4.35,73161600
2016-01-19,4.58,4.58,3.92,3.96,3.96,59831200
2016-01-20,3.77,4.13,3.52,4.07,4.07,88547300
2016-01-21,4.14,4.43,3.97,4.33,4.33,61102000
2016-01-22,4.59,4.66,3.8,3.94,3.94,108842500
2016-01-25,3.87,4.0,3.81,3.94,3.94,51509400
2016-01-26,4.4,4.42,3.83,4.2,4.2,91940800
2016-01-27,4.06,5.08,4.02,4.65,4.65,96210300
2016-01-28,4.8,4.88,4.21,4.42,4.42,66871300
2016-01-29,4.44,4.75,4.37,4.6,4.6,42051000
2016-02-01,4.5,4.82,4.33,4.74,4.74,48326100
2016-02-02,4.6,4.65,4.26,4.35,4.35,31670500
2016-02-03,4.43,4.85,4.35,4.85,4.85,44286700
2016-02-04,5.1,6.03,5.09,5.72,5.72,116173800
2016-02-05,5.57,5.98,5.45,5.68,5.68,71788500
2016-02-08,5.46,5.93,5.17,5.27,5.27,64931800
2016-02-09,5.12,5.4,4.97,5.0,5.0,43151600
2016-02-10,4.95,5.13,4.78,4.98,4.98,33858400
2016-02-11,4.81,5.08,4.65,4.89,4.89,38089300
2016-02-12,5.12,5.75,5.08,5.53,5.53,44606700
2016-02-16,5.82,6.38,5.8,6.37,6.37,77117300
2016-02-17,6.63,7.6,6.6,7.16,7.16,103893300
2016-02-18,7.4,7.42,6.65,7.15,7.15,59753200
2016-02-19,6.98,7.17,6.75,6.92,6.92,38903000
2016-02-22,7.27,7.97,7.27,7.93,7.93,75370000
2016-02-23,7.55,7.74,7.15,7.24,7.24,59132700
2016-02-24,6.74,7.26,6.55,7.2,7.2,57160500
2016-02-25,7.14,7.34,6.79,7.12,7.12,35161800
2016-02-26,7.7,7.8,7.31,7.43,7.43,48368800
2016-02-29,7.69,7.84,7.51,7.63,7.63,49138900
2016-03-01,7.84,7.88,7.26,7.76,7.76,54255000
2016-03-02,7.82,9.02,7.79,8.97,8.97,84921100
2016-03-03,8.66,9.2,8.46,9.11,9.11,66639700
2016-03-04,9.32,10.5,9.17,9.74,9.74,104910200
2016-03-07,9.77,10.2,9.51,9.86,9.86,63752200
2016-03-08,9.37,9.42,8.56,8.66,8.66,58450100
2016-03-09,8.91,9.23,8.47,9.15,9.15,49123200
2016-03-10,8.86,9.65,8.75,9.6,9.6,55701100
2016-03-11,9.85,9.88,9.41,9.55,9.55,40933700
2016-03-14,9.47,10.14,9.37,9.97,9.97,39997600
2016-03-15,9.45,9.49,9.03,9.27,9.27,36391800
2016-03-16,9.25,10.28,9.22,10.22,10.22,49299200
2016-03-17,10.43,11.07,10.06,10.9,10.9,52971300
2016-03-18,11.04,11.45,10.44,10.76,10.76,79254300
2016-03-21,10.65,10.93,10.35,10.8,10.8,31281000
2016-03-22,10.56,11.2,10.43,10.99,10.99,31084100
2016-03-23,10.57,10.72,9.73,9.75,9.75,48678100
2016-03-24,9.37,10.15,9.1,10.11,10.11,52654300
2016-03-28,10.25,10.48,9.73,10.14,10.14,35325200
2016-03-29,9.71,10.3,9.41,10.14,10.14,44124800
2016-03-30,10.36,10.59,9.99,10.29,10.29,46871200
2016-03-31,10.13,10.46,10.13,10.34,10.34,32935800
2016-04-01,9.92,10.0,9.59,9.89,9.89,41414900
2016-04-04,9.91,10.09,9.39,9.42,9.42,38727500
2016-04-05,9.26,9.62,9.22,9.34,9.34,32380200
2016-04-06,9.47,9.65,9.1,9.61,9.61,37216700
2016-04-07,9.28,9.51,8.76,8.85,8.85,61229800
2016-04-08,9.17,9.53,9.02,9.33,9.33,37149700
2016-04-11,9.58,9.88,9.51,9.76,9.76,33180500
