Date,Open,High,Low,Close,Adj Close,Volume
2015-12-31,11.83,11.99,11.76,11.84,11.079941,10382700
2016-01-04,11.58,11.66,11.45,11.6,10.855348,15143500
2016-01-05,11.65,11.78,11.58,11.71,10.958286,13558400
2016-01-06,11.52,11.52,11.2,11.29,10.565248,16352600
2016-01-07,11.05,11.05,10.72,10.77,10.078629,25487700
2016-01-08,10.83,10.92,10.55,10.58,9.900825,17429400
2016-01-11,10.66,10.75,10.5,10.65,9.966331,17000900
2016-01-12,10.76,10.89,10.57,10.82,10.125419,16629500
2016-01-13,10.83,10.93,10.44,10.58,9.900825,29839500
2016-01-14,10.6,10.82,10.54,10.62,9.938257,29085000
2016-01-15,10.18,10.38,9.99,10.11,9.460997,24212500
2016-01-19,10.27,10.28,9.7,9.76,9.133465,27430300
2016-01-20,9.55,9.63,9.24,9.55,8.936943,27005100
2016-01-21,9.61,10.01,9.51,9.94,9.301909,25739300
2016-01-22,10.13,10.24,9.73,9.8,9.170897,17295200
2016-01-25,9.79,9.81,9.45,9.49,8.880794999999999,14556800
2016-01-26,9.54,9.8,9.51,9.64,9.021168,9863800
2016-01-27,9.64,9.89,9.57,9.62,9.002450999999999,9768600
2016-01-28,9.75,9.77,9.42,9.48,8.871439,13443700
2016-01-29,9.58,9.72,9.4,9.71,9.086674,47468400
2016-02-01,9.65,10.01,9.59,9.97,9.329984,21712300
2016-02-02,9.83,9.97,9.73,9.88,9.245761,21614700
2016-02-03,9.81,9.85,9.33,9.65,9.030526,15264300
2016-02-04,9.6,9.94,9.6,9.86,9.227044,11624700
2016-02-05,9.83,10.12,9.76,9.91,9.273836,17014200
2016-02-08,9.76,9.81,9.21,9.37,8.7685,15919200
2016-02-09,9.29,9.42,9.15,9.19,8.600054,19145800
2016-02-10,9.24,9.47,9.19,9.28,8.684277999999999,12246800
2016-02-11,9.14,9.2,8.91,9.02,8.440969,14737600
2016-02-12,9.09,9.44,9.03,9.42,8.815289,9665500
2016-02-16,9.56,9.85,9.45,9.81,9.180256,12066900
2016-02-17,9.88,10.1,9.87,10.08,9.432922,11990100
2016-02-18,10.13,10.67,10.1,10.52,9.844677,18758900
2016-02-19,10.49,10.49,10.05,10.32,9.657515,13933500
2016-02-22,10.44,10.75,10.42,10.68,9.994406,10850000
2016-02-23,10.61,10.63,10.25,10.31,9.648158,13019800
2016-02-24,10.28,10.86,10.1,10.82,10.125419,21745800
2016-02-25,10.16,10.46,9.95,10.34,9.676232,35521800
2016-02-26,10.44,10.99,10.38,10.64,9.956974,22768000
2016-02-29,10.64,10.85,10.6,10.69,10.003763000000001,17442500
2016-03-01,10.84,11.02,10.67,10.93,10.228358,17280100
2016-03-02,10.93,11.06,10.77,10.9,10.200282000000001,12508200
2016-03-03,10.97,11.3,10.96,11.11,10.396802000000001,18077900
2016-03-04,11.15,11.32,11.1,11.18,10.462309,15194000
2016-03-07,10.99,11.4,10.95,11.31,10.702669,12399200
2016-03-08,11.2,11.27,10.96,11.05,10.456631,13055000
2016-03-09,11.09,11.45,11.09,11.36,10.749985,12056800
2016-03-10,11.39,11.56,11.15,11.42,10.806763,15901300
2016-03-11,11.52,11.7,11.45,11.7,11.071726,12948000
2016-03-14,11.63,11.71,11.36,11.47,10.854077,13588500
2016-03-15,11.43,11.45,11.2,11.4,10.787835000000001,11307600
2016-03-16,11.41,11.67,11.35,11.62,10.996022,11691700
2016-03-17,11.62,12.25,11.59,11.72,11.090652,18156500
2016-03-18,11.78,12.22,11.78,12.18,11.525951,35437900
2016-03-21,12.14,12.24,11.98,12.21,11.55434,14445600
2016-03-22,12.09,12.3,12.06,12.26,11.601657000000001,10974900
2016-03-23,12.24,12.28,11.97,12.02,11.374543,11990000
2016-03-24,11.98,12.1,11.72,12.07,11.421857000000001,12086600
2016-03-28,12.06,12.14,11.96,12.07,11.421857000000001,10561500
2016-03-29,12.03,12.35,11.92,12.28,11.620581,10561900
2016-03-30,12.34,12.39,12.16,12.3,11.639508,10790100
2016-03-31,12.3,12.36,12.2,12.32,11.658432000000001,13811600
2016-04-01,12.21,12.29,12.03,12.26,11.601657000000001,11919300
2016-04-04,12.24,12.3,12.09,12.1,11.450247000000001,11098400
2016-04-05,12.1,12.14,11.93,11.95,11.308301,15487800
